Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments
59.69743,59.701331,10.200.110.100,"""bot28"" <sip:bot28@10.200.110.100>",<sip:bot38@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
59.984024,143.484599,10.200.110.100,"""bot36"" <sip:bot36@10.200.110.100>",<sip:bot26@10.200.110.111>,SIP,12:01:23 AM,10,COMPLETED,INVITE 401 200
59.998879,143.503701,10.200.110.111,"""bot36"" <sip:bot36@10.200.110.111>",<sip:bot26@10.200.110.100:8526>,SIP,12:01:23 AM,7,COMPLETED,INVITE 200
60.010094,500.399987,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot32@10.200.110.111>,SIP,12:07:20 AM,10,COMPLETED,INVITE 401 200
60.016218,500.418184,10.200.110.111,"""bot39"" <sip:bot39@10.200.110.111>",<sip:bot32@10.200.110.100:8532>,SIP,12:07:20 AM,7,COMPLETED,INVITE 200
119.723015,204.023364,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:01:24 AM,10,COMPLETED,INVITE 401 200
119.730098,204.041473,10.200.110.111,"""bot33"" <sip:bot33@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:01:24 AM,7,COMPLETED,INVITE 200
119.803853,119.820746,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot48@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
119.816815,193.09035,10.200.110.100,"""bot27"" <sip:bot27@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:01:13 AM,10,COMPLETED,INVITE 401 200
119.823424,193.109463,10.200.110.111,"""bot27"" <sip:bot27@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:01:13 AM,7,COMPLETED,INVITE 200
119.897619,255.188371,10.200.110.100,"""bot30"" <sip:bot30@10.200.110.100>",<sip:bot41@10.200.110.111>,SIP,12:02:15 AM,10,COMPLETED,INVITE 401 200
119.904866,255.201407,10.200.110.111,"""bot30"" <sip:bot30@10.200.110.111>",<sip:bot41@10.200.110.100:8541>,SIP,12:02:15 AM,7,COMPLETED,INVITE 200
179.756894,184.289362,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot41@10.200.110.111>,SIP,12:00:04 AM,7,REJECTED,INVITE 401 486
179.764029,184.283275,10.200.110.111,"""bot31"" <sip:bot31@10.200.110.111>",<sip:bot41@10.200.110.100:8541>,SIP,12:00:04 AM,4,REJECTED,INVITE 486
179.819269,427.120452,10.200.110.100,"""bot29"" <sip:bot29@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:04:07 AM,10,COMPLETED,INVITE 401 200
179.825882,427.136356,10.200.110.111,"""bot29"" <sip:bot29@10.200.110.111>",<sip:bot29@10.200.110.100:8529>,SIP,12:04:07 AM,7,COMPLETED,INVITE 200
179.842204,186.738184,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:00:06 AM,7,REJECTED,INVITE 401 486
179.848713,186.732067,10.200.110.111,"""bot40"" <sip:bot40@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:00:06 AM,4,REJECTED,INVITE 486
179.860343,179.867238,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot23@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
179.861764,370.232885,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot26@10.200.110.111>,SIP,12:03:10 AM,10,COMPLETED,INVITE 401 200
179.982762,737.647157,10.200.110.100,"""bot35"" <sip:bot35@10.200.110.100>",<sip:bot42@10.200.110.111>,SIP,12:09:17 AM,10,COMPLETED,INVITE 401 200
179.990267,737.664935,10.200.110.111,"""bot35"" <sip:bot35@10.200.110.111>",<sip:bot42@10.200.110.100:8542>,SIP,12:09:17 AM,7,COMPLETED,INVITE 200
239.693293,606.689115,10.200.110.111,"""bot26"" <sip:bot26@10.200.110.111>",<sip:bot33@10.200.110.100:8533>,SIP,12:06:06 AM,7,COMPLETED,INVITE 200
239.85415,240.034917,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot23@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
239.855369,250.191023,10.200.110.100,"""bot32"" <sip:bot32@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:00:10 AM,7,REJECTED,INVITE 401 486
239.930125,240.031647,10.200.110.100,"""bot37"" <sip:bot37@10.200.110.100>",<sip:bot40@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
239.966147,240.037884,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot48@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
240.021222,250.185062,10.200.110.111,"""bot32"" <sip:bot32@10.200.110.111>",<sip:bot29@10.200.110.100:8529>,SIP,12:00:10 AM,4,REJECTED,INVITE 486
299.817216,741.330889,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot44@10.200.110.111>,SIP,12:07:21 AM,10,COMPLETED,INVITE 401 200
299.823913,741.344099,10.200.110.111,"""bot38"" <sip:bot38@10.200.110.111>",<sip:bot44@10.200.110.100:8544>,SIP,12:07:21 AM,7,COMPLETED,INVITE 200
299.95838,299.966444,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot47@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
299.993495,300.008302,10.200.110.100,"""bot44"" <sip:bot44@10.200.110.100>",<sip:bot49@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
599.852154,678.329052,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:01:18 AM,10,COMPLETED,INVITE 401 200
599.857976,678.346493,10.200.110.111,"""bot40"" <sip:bot40@10.200.110.111>",<sip:bot29@10.200.110.100:8529>,SIP,12:01:18 AM,9,COMPLETED,INVITE 200
719.997766,720.097129,10.200.110.100,"""bot44"" <sip:bot44@10.200.110.100>",<sip:bot31@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
839.706963,1087.654232,10.200.110.100,"""bot28"" <sip:bot28@10.200.110.100>",<sip:bot25@10.200.110.111>,SIP,12:04:07 AM,10,COMPLETED,INVITE 401 200
839.71826,1087.672364,10.200.110.111,"""bot28"" <sip:bot28@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:04:07 AM,7,COMPLETED,INVITE 200
839.861581,840.03888,10.200.110.100,"""bot32"" <sip:bot32@10.200.110.100>",<sip:bot23@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
959.988602,1388.377782,10.200.110.100,"""bot36"" <sip:bot36@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:07:08 AM,10,COMPLETED,INVITE 401 200
1019.858653,1019.926019,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot20@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
1079.702452,1447.946884,10.200.110.111,"""bot26"" <sip:bot26@10.200.110.111>",<sip:bot40@10.200.110.100:8540>,SIP,12:06:08 AM,7,COMPLETED,INVITE 200
1079.763689,1216.762473,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot41@10.200.110.111>,SIP,12:02:16 AM,10,COMPLETED,INVITE 401 200
1079.776246,1216.776117,10.200.110.111,"""bot31"" <sip:bot31@10.200.110.111>",<sip:bot41@10.200.110.100:8541>,SIP,12:02:16 AM,7,COMPLETED,INVITE 200
1080.01639,1080.038784,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot21@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
1139.935746,1275.737304,10.200.110.100,"""bot37"" <sip:bot37@10.200.110.100>",<sip:bot45@10.200.110.111>,SIP,12:02:15 AM,10,COMPLETED,INVITE 401 200
1140.034628,1275.755366,10.200.110.111,"""bot37"" <sip:bot37@10.200.110.111>",<sip:bot45@10.200.110.100:8545>,SIP,12:02:15 AM,7,COMPLETED,INVITE 200
1199.970685,1208.520376,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot45@10.200.110.111>,SIP,12:00:08 AM,7,REJECTED,INVITE 401 486
1199.988194,1208.515192,10.200.110.111,"""bot25"" <sip:bot25@10.200.110.111>",<sip:bot45@10.200.110.100:8545>,SIP,12:00:08 AM,4,REJECTED,INVITE 486
1319.810682,1930.077147,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot30@10.200.110.111>,SIP,12:10:10 AM,10,COMPLETED,INVITE 401 200
1379.962319,1379.98005,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot21@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
1439.822787,1439.839582,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot47@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
1439.861086,1697.406528,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:04:17 AM,10,COMPLETED,INVITE 401 200
1439.885505,1697.42428,10.200.110.111,"""bot40"" <sip:bot40@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:04:17 AM,7,COMPLETED,INVITE 200
1499.985206,1499.990472,10.200.110.100,"""bot35"" <sip:bot35@10.200.110.100>",<sip:bot49@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
1559.714024,1568.039215,10.200.110.111,"""bot26"" <sip:bot26@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:00:08 AM,4,REJECTED,INVITE 486
1559.86514,1820.032182,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot38@10.200.110.111>,SIP,12:04:20 AM,10,COMPLETED,INVITE 401 200
1559.877161,1820.050008,10.200.110.111,"""bot41"" <sip:bot41@10.200.110.111>",<sip:bot38@10.200.110.100:8538>,SIP,12:04:20 AM,7,COMPLETED,INVITE 200
1619.838792,2060.812208,10.200.110.111,"""bot29"" <sip:bot29@10.200.110.111>",<sip:bot39@10.200.110.100:8539>,SIP,12:07:20 AM,7,COMPLETED,INVITE 200
1619.867943,1702.66638,10.200.110.100,"""bot32"" <sip:bot32@10.200.110.100>",<sip:bot40@10.200.110.111>,SIP,12:01:22 AM,10,COMPLETED,INVITE 401 200
1619.878367,1702.675346,10.200.110.111,"""bot32"" <sip:bot32@10.200.110.111>",<sip:bot40@10.200.110.100:8540>,SIP,12:01:22 AM,7,COMPLETED,INVITE 200
1679.86976,2122.089166,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:07:22 AM,10,COMPLETED,INVITE 401 200
